Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
1.3525336,0.32126337,0.40327683,1.3254752,0.59126335,-0.22412403,-0.107288286,0.48174927,0.59865606,0.07481884,0.2689446,0.608317,0.47834063,0.017253056,-0.09727863,0.45952007,0.10378483,-0.49085703,-0.47945789,-0.1191826
1.1217847,0.458452,0.93508023,1.2448664,0.39822826,-0.17376296,0.40194413,0.4471063,0.7801204,0.067611896,0.6007239,0.55519694,0.71263194,0.004316435,-0.043044206,0.45740613,-0.016822515,-0.6322353,-0.48879334,-0.084020436
1.0593051,0.20602372,0.16068198,1.1489166,0.31381747,-0.12104929,-0.5474352,0.4820126,0.80103797,0.19715339,0.119345166,0.70051885,0.67937547,-0.019453166,-0.024222136,0.36051384,-0.01552384,-0.52215147,-0.49823797,-0.11519428
0.9110919,0.1573838,0.28082976,1.1761786,0.7872992,-0.11644959,-0.28719968,0.4762625,0.810414,0.14319488,0.27717218,0.47908953,0.33915147,-0.055542953,0.15377465,0.36641276,0.18290263,-0.53170764,-0.3981237,-0.033686474
0.97223383,0.5814981,1.0315747,0.9535824,0.8732413,0.029268937,0.27071628,0.48938704,0.74826145,0.026650144,0.30142617,0.21584843,0.36906168,-0.123657204,0.038046863,0.2554839,0.29391512,-0.5000473,-0.41972864,0.014055959
1.0077547,0.7075079,1.3783038,0.8525805,0.8994757,0.018254831,0.59438527,0.4060811,0.6006401,-0.16951656,0.22177082,0.15903276,0.37769142,-0.095271364,-0.20498487,0.17792556,0.30815005,-0.37565652,-0.4135007,0.02485818
1.0077547,0.8774682,0.88618404,0.8525805,0.8994757,0.001457949,0.41981006,0.4060811,0.6006401,0.141814,0.39315474,0.15903276,0.37769142,-0.10683775,0.015863242,0.17792556,0.30815005,-0.37824148,-0.52823395,0.02485818
1.8569831,1.1136793,0.6771385,1.5621471,1.7648141,0.71253914,-0.060965836,1.3280067,1.2472233,0.89748424,0.08834888,1.1700578,0.75059897,0.16055924,0.018554524,0.6464615,0.5388195,-0.29283702,-0.53685987,0.053268623
1.4200958,0.83486205,0.22738819,1.601461,1.3119463,0.16474128,-0.25648305,1.3980544,1.1690379,0.412971,0.16820191,1.1700578,0.46704555,-0.16919371,-0.10657679,0.6676777,0.39007893,-0.47208607,-0.3981506,0.088917784
1.2091131,1.0219724,1.1749445,1.4306388,1.1311594,0.2968465,0.4185671,0.8040046,1.0420511,0.5164374,0.33292946,1.146361,0.3972769,0.05284804,0.042794295,0.7575809,0.34595662,-0.40527478,-0.30673915,0.16636169
0.92765397,0.20781738,1.0916978,1.1545517,0.51207626,-0.095003225,0.58550227,0.5883547,0.33981776,0.10255122,0.5389769,1.0859768,0.40464333,-0.08364694,0.0698338,0.5868582,0.45920447,-0.40598172,-0.31338888,-0.02483882
0.9409645,0.006139915,0.8000518,0.8339465,0.53122187,-0.18454637,0.40203035,0.25824976,0.27150068,-0.002023731,0.40426236,0.46232304,0.397181,-0.12573463,-0.08444591,0.38788557,0.4281356,-0.44820103,-0.56731397,-0.23185328
0.97682184,-0.2274407,0.18252395,0.9267706,0.53594947,-0.19128262,-0.20137887,0.6616173,0.18184389,-0.04871123,0.06563136,0.8062597,0.39907914,-0.003243729,-0.1812432,0.2459679,0.41454145,-0.53527415,-0.4654811,-0.07138995
1.0996037,0.011025472,-0.13433374,0.85287577,0.68904424,-0.16491032,-0.4166374,0.7236808,0.33828714,-0.20862705,-0.030349126,0.82736874,0.480325,-0.13231647,-0.2889833,0.24450547,0.3027051,-0.49406323,-0.4998445,-0.09628167
0.9838429,0.17819811,0.01925315,0.9882468,0.48082674,-0.07650664,-0.027833879,0.5896088,0.75539815,0.01856814,0.22407703,0.49821398,0.4859124,-0.09611829,-0.3188391,0.21781395,0.30668297,-0.40580133,-0.34181568,0.05007257
0.97332025,1.0305902,0.5917225,1.0008904,0.5308253,0.6724802,0.53132445,0.5792445,0.7219808,0.40329888,0.36178106,-0.0013757,0.4778494,-0.026284931,-0.25034314,0.2847137,0.30308443,-0.36459088,-0.28913945,0.08612769
0.97332025,0.9624865,0.7527841,1.2094219,0.5308253,0.5569595,0.55399865,0.5375046,0.7219808,0.39540672,0.28125206,0.59545,0.4778494,0.014447854,-0.034944564,0.4678736,0.30308443,-0.40117928,-0.427433,0.13425086
0.97332025,0.16719122,0.63567585,1.1838087,0.5308253,-0.052294467,0.16129756,0.8891693,0.7219808,0.1329538,0.10109626,0.75799644,0.4778494,0.07049219,-0.11931928,0.37644532,0.30308443,-0.41445732,-0.5515614,0.029672304
0.97332025,0.08367874,0.27613783,1.1133375,0.5308253,-0.22745472,0.2243669,0.66713184,0.7219808,0.0853292,0.15484402,0.6530399,0.4778494,-0.08791846,-0.11234562,0.363057,0.30308443,-0.5265041,-0.640086,0.052365515
0.81563604,0.21062377,0.3205956,1.0344362,0.5007331,-0.26976332,0.19219567,0.30757132,0.61879057,0.13976236,0.12064415,0.4879743,0.45173603,0.032966834,-0.08562453,0.28998205,0.21271446,-0.36149117,-0.5511808,0.006572528
0.9377536,0.71185386,0.13539205,0.82389885,0.49465972,0.03544616,-0.30657417,0.31777015,0.61879057,0.18145071,-0.085902765,0.4359903,0.4514554,-0.05289925,-0.04937545,0.19372185,0.26859504,-0.39320594,-0.44740045,-0.009099423
1.1533201,0.81910414,0.13539205,0.6844778,1.068809,0.26780105,-0.30657417,0.3232153,0.8542876,0.2785886,-0.085902765,0.3362768,0.7329119,0.043605644,-0.04937545,0.18169388,0.3347908,-0.5838929,-0.44740045,-0.020659028
1.1533201,0.059642997,0.13539205,1.0782154,1.068809,-0.09168192,-0.30657417,0.67087364,0.8542876,-0.026255867,-0.085902765,0.6081066,0.7329119,-0.1682958,-0.04937545,0.52486926,0.3347908,-0.46492147,-0.44740045,0.03924859
0.94979733,0.35210422,0.13539205,1.2308732,0.62841284,-0.22082916,-0.30657417,0.5775688,0.8665441,0.045239255,-0.085902765,0.58812463,0.6314172,-0.14346915,-0.04937545,0.37498564,0.3395298,-0.5450147,-0.44740045,-0.009949148
0.94979733,0.28035113,-0.5141978,1.4208784,0.62841284,-0.053768508,-0.3284984,0.73361045,0.8665441,0.094598,0.046026915,0.49329555,0.6314172,-0.11859406,-0.17739786,0.44260162,0.3395298,-0.48914725,-0.65881217,-0.08350984
1.122268,0.2643778,-0.35858625,1.4208784,0.7604546,-0.091906734,-0.25219062,0.73361045,0.46885195,0.15342553,0.09901404,0.49329555,0.6045034,-0.11007241,-0.11122009,0.44260162,0.46720284,-0.40307552,-0.6132499,-0.08350984
1.0881476,0.21512038,-0.051271107,0.94524693,0.38059798,-0.18001972,0.04725016,0.7076879,0.47838086,0.19249387,0.19861366,0.68930435,0.49930024,-0.039582603,0.079542354,0.5044499,0.56319046,-0.41758996,-0.5502691,-0.032342568
1.1099678,0.15921739,0.5696211,1.161394,0.63657755,-0.08209974,0.06045625,0.567672,0.48715585,0.045900334,0.23579958,0.7308889,0.37263566,-0.1423212,0.02533523,0.428601,0.51178306,-0.5869577,-0.48172837,-0.094920635
1.4951527,-0.2548303,0.7387569,1.1823289,0.5043734,-0.11503399,0.12257264,0.29279506,0.86264616,0.19221579,0.3370401,0.78237903,0.70630056,-0.2167203,-0.2298132,0.36994398,0.46501118,-0.52176666,-0.6067474,-0.11906248
1.3592421,-0.271534,-0.037986048,1.159909,0.5444356,-0.040911477,-0.016826013,0.6033176,0.8076849,0.080908455,0.13571624,0.6872214,0.5268032,-0.10570383,9.65E-04,0.5364622,0.38102308,-0.48371592,-0.571332,-0.001367778
1.0937097,0.08714818,0.13290884,1.0759388,0.6875806,0.09312012,0.007175716,0.955075,0.2092718,0.08363984,0.03282918,0.41068304,0.32521847,0.009960255,-0.0855763,0.465478,0.30081406,-0.38929433,-0.4340355,0.06288475
1.0002191,0.53823775,0.3504185,1.3055167,0.6541667,0.26739162,0.11352294,1.4263197,0.0656177,0.06950828,0.14644971,1.1792475,0.28782606,-0.037083596,-0.13456479,0.5807541,0.3048159,-0.20714948,-0.43160266,0.006872715
1.0002191,0.6496685,0.661329,1.3055167,0.6541667,0.33310625,0.16034536,1.4263197,0.0656177,0.19019912,0.32982004,1.1792475,0.28782606,0.067306235,0.030986905,0.5807541,0.3048159,-0.26276934,-0.2093222,0.006872715
1.3175963,0.28773406,0.08570818,0.9375692,0.9967563,-0.07082925,-0.3095478,0.1650532,0.6770132,0.2131459,0.12255225,0.56964993,0.94130355,0.09743395,-0.19591957,0.36246416,0.33256474,-0.3779126,-0.3907447,-0.115494825
1.1162425,0.3134557,0.8970036,0.69498545,0.7137314,-0.042429693,0.02463194,0.2896598,0.720576,0.13744493,0.37934017,0.66779643,0.64250773,-0.16236123,-0.091248445,0.4132972,0.43665537,-0.42252553,-0.3984117,0.06870024
1.1517614,0.6290729,1.1894317,0.8113391,0.84311646,0.37540957,0.3890504,0.81119776,0.93936986,0.1610342,0.4430333,0.9546681,0.4843774,-0.030539699,0.091928564,0.5838486,0.41147977,-0.45820653,-0.4424072,0.13712026
0.9616763,0.07018083,0.38147658,0.96793693,0.4618711,-0.08430592,-0.04503571,0.5972418,0.9044771,0.26879504,0.15088378,0.93449634,0.63137424,-0.013030266,0.18258287,0.6397926,0.59461594,-0.4980788,-0.46509507,-0.043201946
0.93937695,0.11742181,0.38047054,1.0421699,0.55292517,-0.30055904,-0.23078008,0.56450254,0.88166595,0.14989044,0.32154056,0.71405625,0.45698202,-0.12734874,-0.13819122,0.533254,0.32646915,-0.510131,-0.46436957,-0.003910486
0.8145173,0.4169469,0.42506126,1.2308085,0.78960687,-0.28903967,-0.27214357,0.48679912,0.8649104,0.2915163,0.29160175,0.6900558,0.34230518,-0.072993375,-0.02042613,0.50106835,0.1484429,-0.47600988,-0.5308682,-0.14317812
0.75383705,0.67638886,0.13641834,1.0765302,0.7676247,-0.02444117,-0.2314146,0.39569536,-0.008783636,0.40610605,0.15569663,0.47511145,0.43094605,-0.1707705,0.03840574,0.33445427,0.3389676,-0.34225416,-0.51237017,-0.13517514
0.8034225,0.4518143,0.11903996,1.0692598,0.7826609,-0.4167923,0.034886733,0.5413643,-0.04560104,0.22126141,0.2367522,0.3370118,0.41195962,-0.08993596,-0.13204366,0.35599285,0.3412518,-0.41677925,-0.49600556,-0.03451613
0.9381563,0.08359125,0.6281616,1.062572,1.0490941,-0.14325061,0.41824812,0.5437914,0.83549684,0.17956167,0.5173874,0.28842854,0.38917246,-4.35E-04,-0.07711808,0.4030787,0.4043175,-0.38973746,-0.566694,-0.09086628
0.8845859,0.47431916,0.9229319,1.062572,1.0771646,0.012290772,0.53400093,0.5437914,0.8282702,0.2597221,0.5214589,0.28842854,0.3926545,0.04503473,-0.062354248,0.4030787,0.3903621,-0.5648612,-0.5680338,-0.09086628
0.8845859,0.36770177,0.18157576,1.048181,1.0771646,-0.18704695,-0.091897964,0.7746637,0.8282702,0.02010953,-0.18478997,0.71276003,0.3926545,-0.16363391,-0.24715021,0.24595967,0.3903621,-0.665846,-0.58628315,-0.061624132
0.8845859,0.31371143,0.16813911,0.74243313,1.0771646,-0.38769808,0.006604231,0.74160624,0.8282702,0.005403701,-0.16098353,0.5278131,0.3926545,-0.29642558,-0.004480692,0.25347197,0.3903621,-0.43003768,-0.456559,-0.15503077
0.8845859,0.32952726,0.13709888,0.8796282,1.0771646,-0.17782487,-0.0769163,0.5331402,0.8282702,0.031419825,0.11376309,0.6537634,0.3926545,-0.17194979,-0.07757609,0.32172364,0.3903621,-0.31434897,-0.5713888,-0.18715304
0.8845859,0.56073445,0.69503504,0.8796282,1.0771646,0.3419169,0.17615068,0.5331402,0.8282702,-0.040611167,0.21489492,0.6537634,0.3926545,-0.118957244,0.022743143,0.32172364,0.3903621,-0.47790357,-0.17856732,-0.18715304
0.8845859,0.036417603,0.5447125,1.2795571,1.0771646,-0.2664255,0.00871118,0.53939265,0.8282702,-0.3023648,0.20280956,0.52358925,0.3926545,0.13534807,-0.003718243,0.40719905,0.3903621,-0.43305507,-0.17318714,-0.34686252
0.8845859,1.2860702,0.041876536,1.2795571,1.0771646,0.9247238,0.028137686,0.53939265,0.8282702,0.76012176,0.24262026,0.52358925,0.3926545,0.06305664,0.03150098,0.40719905,0.3903621,-0.39891613,-0.66715205,-0.34686252
0.8325059,1.2332916,0.4620005,1.1875141,0.41978815,0.8662677,0.0410452,0.56202704,0.4754457,0.76012176,0.23559627,0.5169307,0.6393422,-0.08481117,-0.019089948,0.32260868,0.5373112,-0.4092684,-0.5653071,-0.45596582
0.97557694,0.5374252,0.6385999,1.2143792,0.49899235,0.071998306,-0.02949453,0.7843758,0.4729386,0.17229947,0.07688251,0.6920868,0.7093116,-0.05710529,-0.13785258,0.43680087,0.60285056,-0.53288543,-0.41392592,-0.16788124
